R,F,M
4720,2,401.9
4398,6,2780.6600000000003
4455,4,1632.4
4407,21,124914.53
4478,2,386.2
4545,2,1760.96
4418,13,5447.17
4467,2,806.14
4455,5,373.65
4384,2,1168.06
4435,3,2662.06
4740,1,277.2
4694,1,364.6
4408,1,742.93
4600,3,562.41
4610,1,437.98
4517,1,707.09
4664,1,166.04
4644,1,1542.08
4409,2,1568.23
4587,1,89.0
4597,1,459.4
4670,1,189.9
4386,10,5226.23
4390,4,1313.1
4464,2,852.24
4404,4,2724.81
4567,5,1850.56
4462,1,549.84
4600,1,381.08
4402,12,3018.63
4418,2,2409.9
4502,4,1108.65
4686,1,84.3
4706,1,225.6
4432,5,1708.12
4415,5,2888.5499999999997
4386,8,3212.8
4383,8,1859.31
4443,2,972.78
4626,1,476.49
4405,4,4067.29
4436,4,1344.78
4393,8,1212.05
4400,2,742.1899999999999
4666,1,559.12
4440,2,2218.02
4621,1,1143.6
4653,1,140.54
4602,1,534.24
4530,3,2940.04
4489,1,51.56
4587,2,1589.82
4493,1,1432.0
4491,3,2362.96
4387,5,1257.68
4748,1,363.53
4464,2,1890.94
4680,1,1784.71
4416,8,8137.02
4439,3,1621.88
4440,4,6641.53
4674,2,641.38
4434,3,3264.74
4404,1,443.41
4446,1,600.39
4678,2,1698.9
4449,2,392.7
4688,1,181.6
4446,2,826.74
4387,1,168.89999999999998
4454,3,1298.04
4446,1,891.4
4432,1,427.7
4405,2,3616.55
4457,3,1226.88
4392,3,3312.42
4462,2,7829.89
4442,2,384.81
4524,4,1300.25
4458,4,2101.56
4393,2,457.5
4531,1,1710.39
4408,9,7956.46
4621,2,511.36
4390,1,144.0
4422,1,214.89999999999998
4392,2,1270.88
4440,1,640.5
4391,9,4881.88
4441,1,620.13
4390,8,2340.84
4449,3,758.1
4384,18,4951.41
4749,1,173.55
4392,3,1298.66
4719,1,334.93
4388,10,5417.93
4421,1,522.8000000000001
4548,2,433.74
4398,7,1246.1000000000001
4615,1,73.5
4409,2,410.6
4667,1,176.5
4495,1,612.29
4402,11,1789.77
4413,1,349.83000000000004
4474,2,716.35
4426,3,12601.830000000002
4391,10,3692.28
4391,7,3781.7400000000002
4644,1,456.9
4405,10,9401.28
4422,2,519.61
4610,1,166.84
4698,1,218.45000000000002
4418,3,639.2
4461,1,440.42
4385,15,7281.38
4411,2,646.68
4491,3,418.09999999999997
4392,8,3023.08
4412,7,1032.58
4441,1,153.12
4462,2,254.18
4385,4,2291.19
4478,2,713.3
4412,1,366.43
4397,3,1339.41
4489,2,641.13
4450,8,6030.3
4406,3,1174.58
4511,6,3344.64
4386,1,314.44
4717,1,114.0
4714,1,919.98
4400,5,4051.17
4394,4,1643.18
4412,1,91.68
4394,1,245.1
4533,3,2744.0299999999997
4393,5,2996.05
4712,1,225.9
4421,4,1970.6
4425,12,17628.46
4441,4,1113.02
4383,4,880.81
4397,22,13787.54
4386,31,12279.82
4387,15,8476.57
4390,7,2283.63
4411,6,2863.08
4754,1,89.14
4408,2,1247.61
4588,1,389.01
4411,6,1035.8
4453,2,869.67
4390,4,582.1
4390,4,4939.99
4674,1,603.4200000000001
4392,5,4708.86
4386,2,1053.49
4454,1,238.25
4388,2,644.95
4414,6,2656.13
4468,4,997.63
4386,5,725.07
4388,4,1031.41
4411,7,2609.1
4393,7,3980.7000000000003
4454,4,836.33
4496,1,453.01
4406,12,18895.91
4562,1,236.26000000000002
4735,1,110.39999999999999
4698,2,779.5699999999999
4715,1,234.0
4446,1,427.6
4398,3,4238.67
4577,1,582.73
4404,3,825.8
4570,2,729.54
4385,30,19788.649999999998
4415,7,6572.11
4412,5,5955.7699999999995
4400,18,7324.09
4436,1,723.38
4398,11,6941.4
4405,6,13219.74
4394,1,527.2
4411,4,3281.63
4405,10,5579.82
4446,2,263.21000000000004
4464,1,1043.1
4404,3,403.70000000000005
4406,11,4257.82
4719,1,2169.39
4401,2,482.04999999999995
4460,2,1312.06
4411,5,2528.15
4383,5,2056.89
4446,1,330.84
4462,5,2634.2599999999998
4525,1,599.68
4422,2,192.72
4392,8,4485.72
4383,3,1316.66
4464,3,348.71000000000004
4392,6,1933.48
4442,4,1662.28
4397,1,125.22
4513,1,1089.18
4693,2,561.71
4388,3,2134.01
4685,1,238.85
4469,1,351.65
4385,32,4124.69
4391,2,1020.42
4629,1,415.7
4422,1,197.71
4617,2,2040.1
4594,2,9864.26
4475,2,437.6
4411,10,2599.04
4572,5,577.06
4404,1,739.1999999999999
4461,3,1126.85
4457,1,704.0400000000001
4440,5,3344.38
4660,1,315.6
4399,9,3641.24
4384,20,13689.67
4615,1,180.1
4659,1,305.1
4594,2,2683.82
4406,9,6620.4800000000005
4393,7,4478.53
4387,3,786.46
4441,4,2163.98
4472,2,1689.18
4408,3,1013.26
4512,1,477.91
4416,4,1775.18
4405,12,3722.82
4537,1,318.05
4490,3,623.51
4393,5,601.98
4401,1,686.05
4383,11,3849.78
4707,1,63.0
4394,4,3807.15
4388,2,610.52
4510,4,855.91
4462,2,797.71
4402,1,219.0
4454,1,283.55
4398,9,6868.29
4412,10,2712.91
4398,15,9706.52
4479,3,1149.02
4411,13,4396.13
4383,1,848.55
4385,25,5781.73
4755,1,155.35
4411,3,1499.01
4566,3,814.5
4425,3,539.0
4422,4,1366.8600000000001
4475,2,1579.12
4405,4,4027.36
4406,2,571.67
4412,2,382.98
4399,2,481.11
4386,1,680.99
4534,2,1030.98
4702,1,2661.24
4663,1,387.31
4385,7,4310.0
4544,4,4341.21
4392,55,117430.03
4384,201,143711.17
4401,1,1757.55
4650,1,1017.68
4736,1,383.7
4421,2,437.82
4404,2,2794.51
4386,9,2338.15
4400,1,196.94
4700,1,452.85
4420,10,3338.2200000000003
4405,5,2099.54
4435,1,1193.32
4404,1,177.31
4754,1,427.8
4399,2,867.85
4405,6,21429.39
4618,3,3010.74
4663,2,3811.95
4469,1,112.07999999999998
4521,2,494.08
4593,1,1351.45
4393,3,6977.04
4427,1,229.64000000000001
4699,1,1693.88
4749,4,1661.06
4499,1,905.5
4405,4,1820.09
4435,3,1531.44
4400,5,1386.04
4402,6,822.23
4392,3,463.66
4448,1,91.85000000000001
4575,1,324.92
4756,1,192.60000000000002
4569,1,427.58
4384,73,280206.02
4693,1,334.4
4419,8,4186.639999999999
4387,5,1845.31
4426,1,256.4
4425,5,5059.32
4383,7,13375.87
4482,1,509.01000000000005
4397,2,2906.85
4404,5,5005.46
4464,1,4366.78
4449,2,132.18
4531,2,2209.85
4496,1,4873.81
4418,5,1315.83
4511,1,275.88
4420,8,3981.36
4484,1,125.92
4530,2,1063.46
4478,2,572.2
4405,3,2811.43
4461,1,777.2
4398,13,7984.18
4499,2,2791.59
4390,2,1898.52
4386,7,6989.63
4442,1,892.47
4387,5,2330.92
4385,6,2225.91
4392,2,573.02
4747,1,311.95
4639,1,400.53999999999996
4717,2,545.48
4436,2,860.41
4401,1,430.48
4748,1,254.03
4419,3,483.65000000000003
4560,1,489.31
4643,3,514.85
4671,1,145.92
4434,7,39460.659999999996
4440,1,1002.3100000000001
4615,1,1079.4
4608,1,436.3
4398,4,807.04
4386,1,172.06
4405,1,133.4
4427,1,449.45
4539,2,197.88
4439,1,3528.3399999999997
4456,4,767.96
4401,2,1189.59
4415,6,4657.0
4478,5,3723.87
4517,3,1304.81
4525,2,982.5699999999999
4412,1,363.95
4405,4,5568.35
4402,17,13400.24
4412,3,981.18
4419,1,372.7
4458,2,1000.39
4429,2,1161.5
4580,2,207.79999999999998
4549,1,95.19999999999999
4462,1,964.8299999999999
4740,1,168.0
4433,2,633.66
4399,5,11990.960000000001
4434,2,618.27
4402,4,3811.22
4385,8,971.3199999999999
4400,8,2484.98
4416,1,671.69
4621,1,486.1
4498,1,185.89999999999998
4407,6,1331.39
4411,3,957.59
4489,1,343.36
4387,15,31906.82
4416,1,6207.67
4427,2,1887.96
4698,2,1628.12
4512,1,4008.62
4411,2,585.27
4428,1,1635.66
4461,3,11072.67
4691,2,693.33
4495,1,668.58
4551,1,417.36
4393,5,9035.52
4399,2,430.57
4427,3,3181.04
4468,5,1970.53
4454,2,947.4
4477,2,826.88
4519,3,1269.84
4658,2,618.63
4671,1,1340.32
4455,4,4393.63
4441,6,3624.35
4461,2,1013.04
4681,1,889.24
4708,1,77183.6
4385,11,4196.01
4383,209,34339.06
4386,5,4090.88
4386,4,942.34
4597,1,92.72
4453,2,948.88
4457,5,1759.5
4442,1,397.12
4385,7,1474.72
4388,3,430.15000000000003
4385,6,1018.71
4719,2,293.0
4420,6,6814.64
4645,1,215.05
4415,2,383.03000000000003
4528,1,417.38
4665,1,312.38
4442,4,2627.16
4556,1,134.1
4416,2,719.8000000000001
4385,14,5609.3
4526,4,2726.77
4387,25,4004.08
4453,2,1118.99
4448,8,1751.51
4412,2,339.51
4650,4,354.09
4405,1,1027.29
4414,2,1038.01
4479,1,142.82
4677,1,311.55
4517,6,1957.1000000000001
4461,3,1361.0
4755,1,38.1
4390,6,2248.38
4593,2,1106.4
4435,1,521.2
4521,1,147.12
4409,7,4162.69
4568,6,1607.0600000000002
4467,2,380.64
4709,2,599.97
4665,1,374.0
4526,2,343.2300000000001
4386,12,1535.77
4619,2,854.99
4427,3,573.22
4658,1,298.0
4392,2,1463.04
4407,4,703.47
4471,1,309.05
4446,3,1175.22
4450,2,1378.4
4597,2,354.12
4407,1,378.92
4568,3,331.0
4413,1,216.5
4425,2,372.8
4587,2,216.5
4391,28,17654.54
4647,1,138.68
4401,2,519.36
4394,5,2919.81
4559,2,750.0
4422,5,2178.67
4406,8,3075.04
4385,5,1662.3
4387,5,2483.63
4531,2,363.65
4521,4,3121.95
4511,1,594.0
4391,6,1335.19
4400,1,162.78
4392,37,16587.09
4544,1,405.38
4447,1,172.82
4471,4,1185.76
4387,2,694.05
4418,5,2062.7
4694,1,117.85
4461,2,415.8
4404,15,42883.36
4407,3,637.53
4385,7,2160.7
4400,4,1063.9
4398,4,1504.27
4408,1,114.14
4447,8,11581.8
4437,2,924.6899999999999
4514,3,675.6
4418,2,604.51
4671,1,462.95
4526,6,1603.99
4399,7,2064.95
4413,8,4167.22
4385,3,1843.0
4391,6,1064.07
4388,4,1387.79
4392,1,329.85
4384,11,4757.16
4689,1,108.07
4392,8,4017.54
4390,2,266.39
4391,8,1856.63
4472,1,769.81
4392,1,160.18
4741,2,1660.9
4495,1,135.95
4390,4,479.87
4386,86,11189.91
4580,1,144.8
4594,1,738.6
4539,1,39.24
4540,9,7374.900000000001
4412,2,372.22
4625,1,390.53999999999996
4401,1,97.5
4383,2,1239.38
4456,2,558.7
4675,1,569.62
4386,15,6924.110000000001
4414,3,409.5
4406,2,503.76
4406,4,414.76
4387,3,974.42
4468,1,211.32
4405,4,1226.89
4579,3,455.88
4489,3,534.85
4387,13,9946.53
4701,1,120.94999999999999
4488,3,149.05
4394,18,5655.91
4556,2,513.7
4439,1,81.57
4706,1,229.46999999999997
4755,1,50.550000000000004
4392,8,1646.8400000000001
4384,13,4810.9400000000005
4393,10,3466.2799999999997
4436,5,3339.64
4456,3,789.89
4390,1,204.0
4399,28,7277.7
4387,9,2616.38
4447,2,689.9
4384,5,975.36
4496,6,6912.0
4405,2,661.3199999999999
4413,3,1247.5
4394,2,954.11
4435,2,1010.18
4740,1,190.55
4437,2,642.77
4456,2,921.88
4521,3,881.07
4463,3,908.46
4391,2,676.99
4656,1,516.42
4674,1,560.47
4482,1,305.28
4413,2,629.3100000000001
4414,10,3237.54
4397,4,1829.6100000000001
4447,2,656.6800000000001
4397,17,5875.46
4595,1,348.15
4461,3,1214.41
4407,3,271.4
4632,1,183.4
4636,1,307.53
4455,1,248.61
4574,1,346.97999999999996
4395,4,1120.44
4756,1,205.86
4407,2,470.8
4465,1,139.31
4393,2,344.0
4383,24,4469.37
4575,1,228.8
4649,1,177.15
4512,1,919.61
4384,4,728.02
4386,26,12627.94
4387,5,220.10000000000002
4562,1,58.08
4394,11,28337.38
4509,9,3613.63
4387,2,303.75
4540,2,416.08
4385,97,58895.28
4391,14,8910.82
4411,1,345.82
4453,5,477.83
4658,8,7832.47
4404,12,1927.3200000000002
4453,1,74.39999999999999
4415,10,6137.27
4384,28,28882.44
4482,1,207.35999999999999
4617,1,101.19
4384,24,6424.09
4422,1,243.94
4386,6,1098.48
4516,1,76.5
4427,4,1531.62
4755,1,350.06
4442,2,786.54
4414,7,1494.47
4383,24,12245.960000000001
4394,4,2294.78
4521,1,501.14
4404,8,984.91
4402,5,1197.81
4621,1,30.599999999999998
4652,1,283.73
4477,2,922.39
4472,3,3875.18
4387,8,2099.64
4460,1,259.17
4477,1,64.0
4406,3,1073.3
4644,1,77.3
4656,2,109.8
4468,4,1793.58
4579,1,3096.0
4439,5,2607.61
4393,8,3976.12
4405,6,962.39
4399,7,5064.9400000000005
4491,3,422.47
4467,5,2388.75
4402,1,307.09
4715,1,110.95
4422,4,618.52
4409,1,238.66
4393,4,712.8000000000001
4412,12,3773.4
4397,4,1676.06
4678,1,1271.82
4388,1,486.22
4416,4,980.61
4432,4,1741.22
4477,4,1201.06
4391,4,1433.1
4405,1,91.8
4696,1,112.75
4505,4,1688.29
4429,2,1021.48
4666,1,448.65
4401,4,791.3299999999999
4419,4,1310.96
4446,2,712.88
4409,1,110.75999999999999
4404,3,468.40999999999997
4387,2,353.65
4399,3,3087.4700000000003
4429,1,483.98
4447,1,282.45
4409,11,5725.47
4428,1,121.17999999999999
4390,9,3957.78
4397,10,1672.43
4650,1,71.4
4422,3,1575.89
4720,1,236.02
4394,1,114.60000000000001
4401,2,260.68
4478,2,911.94
4444,1,126.03
4518,1,60.7
4394,4,1797.78
4393,6,3401.2400000000002
4386,38,9817.12
4402,4,870.09
4392,4,869.46
4398,2,250.26000000000002
4441,6,1248.88
4413,8,5932.41
4476,1,353.48
4393,3,1107.77
4402,3,795.08
4439,5,1520.58
4650,1,333.74
4505,3,533.98
4510,1,62.64
4461,4,819.29
4623,2,847.41
4583,2,163.20000000000002
4443,2,2155.95
4386,7,6463.84
4656,1,108.21
4584,1,257.7
4464,1,358.0
4608,1,160.95
4387,14,2835.29
4395,7,1336.6
4457,2,605.12
4595,1,1143.92
4407,2,744.85
4400,4,700.73
4644,1,329.56
4479,4,679.45
4495,3,270.40000000000003
4586,1,593.62
4475,1,121.74000000000001
4433,1,430.5
4401,6,2174.02
4400,4,501.12
4507,2,465.68
4475,3,711.41
4539,2,1030.4
4392,2,399.51
4394,3,700.63
4444,1,306.48
4444,1,557.62
4651,2,944.1
4646,1,200.29
4384,35,7623.03
4436,5,2092.66
4394,12,3834.2599999999998
4385,19,4521.49
4400,11,3227.57
4384,15,5348.2300000000005
4749,1,590.0
4420,1,254.27
4414,2,276.56
4496,1,138.98
4446,2,590.9300000000001
4398,4,258.4
4423,1,542.73
4461,1,137.75
4505,3,812.86
4401,3,1132.14
4442,2,93.66
4713,1,201.19
4406,4,2709.12
4538,1,364.05
4421,2,578.9399999999999
4572,2,873.74
4742,1,201.20000000000002
4520,1,87.4
4390,4,2089.85
4384,1,360.0
4651,1,142.5
4552,1,371.89
4486,4,618.09
4538,1,63.75
4734,1,300.42
4387,10,2000.86
4503,1,15.0
4405,3,1385.51
4390,5,1456.79
4411,3,1132.03
4387,2,598.57
4405,5,1555.32
4384,3,795.74
4420,4,5732.93
4449,6,2273.68
4384,3,640.76
4388,26,10845.550000000001
4461,4,1532.2
4455,2,567.36
4400,1,199.48000000000002
4386,5,787.85
4419,10,7121.95
4464,1,675.3
4421,8,3627.77
4699,1,1308.48
4414,2,789.0
4475,3,1140.93
4397,1,350.9
4465,3,3598.92
4460,1,795.12
4540,1,487.02
4583,1,860.12
4428,7,10736.48
4643,1,775.85
4560,1,353.43
4450,3,2511.69
4670,1,389.5
4453,1,341.36
4447,1,233.76
4393,1,247.32
4399,2,979.12
4449,1,373.94
4443,1,397.97999999999996
4454,1,743.53
4505,1,674.7
4463,1,768.24
4640,1,651.6
4651,1,439.03
4446,1,439.56
4392,4,3090.7400000000002
4400,2,992.5
4454,1,134.96
4416,2,2225.37
4433,1,56.160000000000004
4639,2,623.4
4748,1,308.28000000000003
4754,1,754.87
4472,1,378.64
4443,3,3312.25
4471,1,778.65
4482,3,1019.76
4409,3,594.29
4414,6,3639.31
4663,1,222.99
4413,7,4151.93
4712,1,534.57
4514,2,677.1
4394,3,797.96
4457,1,544.08
4586,1,59.8
4384,8,2520.02
4568,1,307.71999999999997
4412,2,1360.99
4455,5,1544.13
4575,1,457.34
4510,2,621.23
4400,1,75.0
4384,2,252.48999999999998
4457,3,587.452
4384,62,28117.04
4407,5,1003.0600000000001
4490,1,219.8
4516,3,1390.5
4426,2,712.5
4387,2,640.83
4394,18,6127.43
4446,1,221.06
4532,2,159.85
4423,2,1893.1100000000001
4447,1,2626.3
4491,3,1624.21
4383,10,3641.32
4402,3,582.6
4393,1,207.59
4393,4,1006.8
4401,2,679.45
4450,2,1269.1
4457,2,534.24
4388,7,3869.29
4384,1,196.89
4397,7,3408.06
4638,1,283.71
4474,1,296.64
4406,3,1129.14
4399,6,3630.29
4406,1,291.88
4409,6,2043.72
4409,5,2942.27
4642,2,590.0
4548,2,356.97999999999996
4407,2,1058.34
4400,6,1766.72
4390,14,9646.57
4412,2,183.44
4421,3,1445.0
4635,1,151.5
4441,1,674.68
4567,1,307.9
4393,2,1222.06
4384,37,5704.97
4482,2,165.0
4384,4,2751.65
4443,2,422.64
4619,1,237.16
4574,4,1431.78
4561,2,1238.47
4420,6,1454.58
4583,2,300.95
4428,5,1804.56
4615,1,184.64
4448,1,140.34
4624,1,313.8
4616,1,454.24
4461,3,1122.41
4440,3,575.4
4400,13,8968.31
4488,4,449.52
4434,10,1215.82
4694,1,316.26000000000005
4390,5,2044.8700000000001
4393,2,653.33
4665,2,348.05
4400,5,1159.11
4406,3,1166.77
4399,3,292.0
4454,1,216.85
4447,1,295.93
4699,2,458.52
4386,4,2479.16
4626,1,110.97
4391,7,979.72
4384,4,1791.56
4643,1,251.21
4509,1,205.1
4456,1,152.20000000000002
4455,4,891.12
4404,3,1389.41
4442,3,2128.42
4468,1,627.16
4461,1,122.75
4384,3,1117.98
4413,1,125.80000000000001
4416,5,3964.88
4423,5,680.1800000000001
4397,2,628.78
4416,7,2337.61
4461,2,307.76
4588,2,483.8
4416,1,210.31
4565,3,281.01
4385,25,5870.08
4384,7,3461.67
4426,7,1280.85
4468,3,631.34
4422,2,276.06
4395,3,643.59
4479,2,746.29
4408,7,918.2
4702,1,91.80000000000001
4449,12,3802.4700000000003
4456,4,4098.88
4411,2,584.06
4388,4,600.78
4390,1,171.42000000000002
4598,1,141.85999999999999
4464,3,1799.33
4467,2,777.53
4527,3,1819.02
4402,2,240.22
4423,2,937.16
4556,1,219.60000000000002
4400,2,347.1
4626,1,239.49
4395,12,2141.25
4588,1,1462.7
4433,2,290.25
4406,5,732.0699999999999
4393,18,6717.34
4408,4,1687.6000000000001
4397,2,467.04
4692,1,118.0
4538,1,781.03
4689,1,142.4
4446,1,712.4
4398,9,2478.95
4397,2,379.65
4394,6,1981.92
4447,3,1117.13
4418,4,247.95999999999998
4491,5,2011.88
4435,1,396.97
4388,2,697.35
4430,1,210.74
4384,21,5154.27
4695,1,219.51999999999998
4428,2,725.22
4447,1,428.89
4409,1,164.34
4412,3,276.75
4423,1,713.97
4395,7,1116.23
4472,3,1181.4
4407,4,1628.15
4701,1,417.69
4423,3,544.18
4556,1,177.34
4499,1,213.85
4413,5,727.74
4635,1,257.23
4442,5,1638.47
4406,11,7792.36
4388,7,2031.78
4482,11,3070.42
4407,5,2118.93
4416,5,1572.1100000000001
4450,1,1071.03
4419,5,949.12
4435,3,822.95
4398,1,122.64
4457,1,1083.1399999999999
4598,1,312.28000000000003
4414,3,519.44
4399,4,2624.26
4503,1,252.1
4392,4,1648.1200000000001
4639,2,346.6
4399,6,1836.3400000000001
4418,2,94.19999999999999
4428,3,1095.08
4426,6,2707.33
4497,2,932.97
4547,2,379.65
4393,2,382.14
4392,5,2639.17
4588,2,1647.55
4468,3,881.26
4562,1,189.47
4443,3,84.65
4532,1,302.17
4385,21,6340.28
4433,2,218.55
4458,1,349.7
4684,2,186.39000000000001
4401,2,410.0
4534,2,486.82
4534,1,232.6
4384,4,3743.77
4400,4,827.83
4570,1,59.5
4668,1,65.13
4385,7,3119.44
4565,1,72.0
4446,1,910.0
4442,1,172.25
4407,3,1488.32
4386,50,65039.62
4414,15,2504.13
4421,1,151.29999999999998
4538,1,308.58000000000004
4409,10,2248.63
4701,1,99.5
4388,9,2308.06
4390,3,711.86
4685,1,330.79
4650,2,806.41
4654,1,285.33
4386,13,6307.650000000001
4414,1,180.48
4601,2,252.06
4629,1,228.84
4664,5,1083.99
4652,1,138.28
4415,6,1445.01
4629,2,306.55
4398,5,1041.68
4499,4,799.9
4419,1,524.14
4514,3,2375.41
4600,1,199.85000000000002
4432,8,1980.56
4421,2,1079.6599999999999
4411,2,333.48
4419,6,1016.14
4518,2,752.6
4602,2,610.59
4411,1,491.86
4407,4,2886.86
4388,2,771.86
4583,1,344.07
4401,1,216.9
4623,1,350.75
4454,3,668.4300000000001
4399,12,3214.57
4385,7,1341.6
4478,2,1080.52
